ticker,last_price,ret_1d,ret_5d,ret_20d,ytd,ma20,ma50,ma200,rsi14,volume_ratio,above_20ma,above_50ma,above_200ma,volume_ratio_zscore,sector_score
ABNB,140.965,0.004883073599618815,-0.00637907105409663,0.12600841591857703,0.05980754950445366,136.1872,132.5711,128.3301,73.03,0.292,True,True,True,-0.33113540782356243,
PLTR,138.5,0.003841405918733498,-0.02168543593550809,-0.05454300766980935,-0.1749076641462909,141.7515,144.988,164.3263,61.92,0.418,False,False,False,-0.2641152064786723,
IDXX,559.89,0.0112524686740898,-0.0018540246393008442,-0.008447488263654268,-0.16433077686343112,573.6735,590.7486,640.9798,48.91,0.39,False,False,False,-0.2790085845553145,
AMAT,395.845,0.03464545599646596,-0.019967325315747853,0.11883836879140208,0.47409038250290525,389.2837,369.0897,267.9159,48.14,0.478,True,True,True,-0.2322008248858675,
SNPS,481.03,-0.0003948348799390766,0.05292764004101258,0.2124565474106288,0.001269691799911321,443.6065,430.9702,479.8878,76.24,0.326,True,True,True,-0.31305059158763965,
FTNT,84.12,-0.023109950640626375,0.016433066399791585,0.03659890529707499,0.08012333992333565,82.72,81.8136,83.21,67.45,0.443,True,True,True,-0.2508175474816703,
TTWO,213.37,-0.00914832940561594,0.01653168804956895,0.07653884158689861,-0.15194757575084938,208.3775,206.0654,231.7335,69.15,0.368,True,True,False,-0.2907105244726763,
KHC,22.625,0.009143618332223546,0.029813414069947974,0.01594070655317692,-0.056794837012268506,22.4922,22.806,24.2579,43.34,0.403,True,False,False,-0.2720938018768735,
ORLY,98.9452,0.07912744491758716,0.061188334684951995,0.07432355807133217,0.09525350974120195,93.2018,92.5585,97.2355,69.58,1.157,True,True,True,0.12896359347270686,
GC=F,4629.7002,0.018591040299422934,-0.01602514309553349,-0.03209148556032193,0.07308091509956371,4719.305,4840.38,4248.1205,40.73,17.521,False,False,True,8.833079266550337,
ROST,228.68,0.015994272327350956,0.007756013225090896,0.03969081995301593,0.2540547578491952,224.2585,214.9943,176.2932,67.65,0.343,True,True,True,-0.30400818346967823,
FAST,44.63,0.021047860968027132,-0.012809318543612225,-0.037790818888254196,0.11562926872062729,45.4975,45.4597,44.4097,31.54,0.371,False,False,True,-0.289114805393036,
PAYX,92.99,-0.011270655540595143,0.02242991736094546,0.02287970649952875,-0.13483455759698892,90.9965,92.2918,112.9342,70.01,0.364,True,True,False,-0.2928381499121966,
CTAS,174.5832,0.0036401795896785494,-0.017097111946355548,0.014782684200616014,-0.0535226351208542,175.2437,184.0611,194.0274,48.94,0.31,False,False,False,-0.32156109334572097,
SNOW,135.275,-0.04209748812370917,-0.0759904403265631,-0.11654259267083822,-0.3757787379191282,143.1203,158.6763,207.4631,60.98,0.576,False,False,False,-0.18007400161761966,
ON,100.825,0.01987655599594329,0.031141319359374364,0.6209806384490695,0.7782186171352568,81.1048,69.8353,57.9539,87.96,0.42,True,True,True,-0.2630513937589121,
ILMN,125.71,0.04436318198922895,0.002152396666227352,-0.007265246694305394,-0.06430968832547657,128.055,125.5116,117.8476,56.1,0.783,False,True,True,-0.06996938512244306,
MRVL,164.4675,0.05044064051631758,-0.00659880886329578,0.5420282059086412,0.8421325003990687,139.0099,108.0843,87.8636,78.51,0.435,True,True,True,-0.25507279836071095,
ARM,212.92,0.05567948629878927,0.04061383868728319,0.37305725228847386,0.8558353694676999,175.6148,148.2045,141.0092,72.84,0.648,True,True,True,-0.14177674370625387,
LRCX,257.92,0.036864375588882003,-0.002475186173044208,0.16174955997214235,0.3953800111428669,254.8295,236.6934,173.161,46.73,0.489,True,True,True,-0.22634985492718662,
XLRE,44.18,0.01237398998808037,0.005004577463260995,0.07887666622852763,0.10145984165789956,43.306,42.5686,41.2339,62.98,0.976,True,True,True,0.03268854233441235,0.014226076699900954
XLU,46.46,0.017075279642861485,0.008027748549790159,0.007590511157844482,0.08348355262250728,46.174,46.1917,43.682,45.57,0.726,True,True,True,-0.10028804763560766,-0.00911164514075374
AVGO,416.284,0.026720888022733424,-0.008706019522122244,0.3279020369065191,0.2000381456196716,385.4607,347.4059,338.2962,70.36,0.472,True,True,True,-0.235392263045148,
CEG,310.795,0.04644785665903828,0.06156718615452328,0.11212704118934047,-0.15027576884494143,291.8693,300.91,326.4989,61.32,0.44,True,True,False,-0.2524132665613105,
MNST,77.35,0.00598256064669167,-0.002707569508547336,0.06293805197655011,0.015624931129090136,75.79,76.8172,71.8405,57.78,0.326,True,True,True,-0.31305059158763965,
XLY,117.44,0.00513528006095143,-0.002547948257230259,0.06958104897362416,-0.005695656015862527,115.566,113.7657,116.438,65.49,0.707,True,True,True,-0.11039426847332919,-0.0202755981413592
XLF,52.09,0.003274306426001683,0.005598473355186151,0.05360035597669488,-0.04682753907268422,51.5345,50.5707,52.3005,66.42,0.562,True,True,False,-0.18752069065594074,-0.03418744291163146
BZ=F,109.38,-0.07328646628263946,0.04102024908263169,0.08125734770398663,0.8004937819492668,102.298,96.7614,73.298,62.09,1.145,True,True,True,0.1225807171541459,
BIIB,189.15,-0.026906116138237346,0.006759575157899489,0.02921969285480519,0.06371603928464431,181.1855,184.8094,164.1523,64.85,0.525,True,True,True,-0.2072012259715037,
COIN,187.12,0.02965938214035657,-0.05461525771034126,0.08168095945046838,-0.20889529411537022,188.277,187.0206,265.1368,59.32,0.517,False,True,False,-0.21145647685054436,
AEP,136.0,0.011603671007620386,0.006810765150091935,0.03288525777526696,0.18362252611473173,134.3175,132.436,118.7456,48.96,0.372,True,True,True,-0.288582899033156,
PEP,158.0,0.01745126428638466,0.014772017320734854,0.021661857327701872,0.12080146809391756,155.966,157.776,147.8449,52.38,0.442,True,True,True,-0.2513494538415504,
CRWD,442.37,-0.022127436353465813,-0.006780617957126478,0.12473620773213367,-0.02471447547717609,426.126,412.6664,457.615,72.84,0.409,True,True,False,-0.2689023637175931,
PYPL,50.005,-0.01835487993326157,0.005125649610356442,0.1204346823070106,-0.13731679390769858,48.6288,46.529,59.1775,69.19,0.513,True,True,False,-0.2135841022900647,
GOOG,380.0499,0.09426707814858437,0.1252402553374814,0.28874162124818237,0.20613227995535555,330.318,312.5383,280.0204,86.55,1.762,True,True,True,0.45076694120015526,
XLP,84.188,0.015291912676001829,0.008481075163333296,0.033488883945818726,0.0897396964858832,82.3979,83.7435,80.2288,60.98,0.798,True,True,True,-0.06199078972424186,-0.0022078790578474693
REGN,705.19,0.027434607919631038,-0.07941047954212399,-0.09271147965081217,-0.09052020886378565,747.929,757.156,681.8355,35.19,0.653,False,False,True,-0.13911721190685347,
MCHP,92.22,0.02273486850822426,0.01743161784746361,0.4105231736742234,0.42646474664368106,78.469,72.0143,67.2341,80.89,0.46,True,True,True,-0.24177513936370892,
HG=F,5.981,0.01743641441168431,-0.015554286012978147,0.0634779284342386,0.060461008542740835,5.9203,5.7911,5.3161,56.83,6.029,True,True,True,2.720411378808457,
NVDA,200.7301,-0.040716355846774244,0.005460344383624527,0.14213429609708395,0.06296512129636178,196.229,186.9636,183.7116,61.0,0.953,True,True,True,0.020454696057170502,
CPRT,33.29,-0.0012001474146356994,-0.017414407732801007,0.008176876257437682,-0.11861264198940347,33.3085,34.3982,40.8978,60.23,0.273,False,False,False,-0.3412416286612839,
APP,440.15,-0.007396880755639712,-0.03086954029711786,0.13487520124928198,-0.28815178437903943,438.665,438.155,525.1847,62.48,0.264,True,True,False,-0.3460287859002046,
GILD,131.225,0.018511408207201097,-0.018070886689332544,-0.06468279936454702,0.08528161699598891,135.9937,140.4596,125.5375,30.54,0.371,False,False,True,-0.289114805393036,
ASML,1439.7,0.03272408796859416,0.017664303424579808,0.061102340583705894,0.24142673496009692,1425.1029,1399.3486,1108.9388,45.95,0.462,True,True,True,-0.24071132664394876,
AAPL,273.68,0.012991742508780435,0.0009143108170157621,0.07060981672023736,0.010796927104737009,265.2645,260.874,254.5599,63.46,0.605,True,True,True,-0.16464871718109733,
QCOM,179.67,0.15173075749323917,0.34132140546721446,0.4116121927412377,0.04534380743914124,137.78,135.8036,155.2201,92.8,2.875,True,True,True,1.0427787197466842,
